"cnpj_basico","nome_fantasia","bairro","nome","descricao"
"07357385","L & L BOMBONS","ABOLICAO","MOSSORO","Comщrcio atacadista de chocolates, confeitos, balas, bombons e semelhantes"
"12745527","PETROSAL LTDA","BOM JARDIM","MOSSORO","Manutenчуo e reparaчуo de aparelhos e instrumentos de medida, teste e controle"
"07397160","","ALTO DE SAO MANOEL","MOSSORO","Serviчos advocatэcios"
"02296175","DISK CACAMBA","TIROL","NATAL","Limpeza em prщdios e em domicэlios"
"07397215","GOLDEN CAPAS","CENTRO","MOSSORO","Comщrcio varejista de artigos de joalheria"
"07397255","PANIFICADORA SANTA CLARA","CENTRO","ALTO DO RODRIGUES","Fabricaчуo de produtos de padaria e confeitaria com predominтncia de produчуo prѓpria"
"07397282","","LAGOA DOS CURRAIS","SERRA CAIADA","Atividades de associaчѕes de defesa de direitos sociais"
"03654905","","SANTO ANTONIO","MOSSORO","Fabricaчуo de farinha de milho e derivados, exceto ѓleos de milho"
"06054637","CASA MOREIRA","CENTRO","MOSSORO","Comercio varejista de artigos de cama, mesa e banho"
"07397858","PINHEIRO MOVEIS","POTENGI","NATAL","Comщrcio varejista de mѓveis"
"07398200","KERO ALHO","CENTRO","BREJINHO","Comщrcio atacadista de produtos alimentэcios em geral"
"01655988","","SAO SEBASTIAO","NOVA CRUZ","Comщrcio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e fщculas, com atividade de fracionamento e acondicionamento associada"
"70097233","","PONTA NEGRA","NATAL","Representantes comerciais e agentes do comщrcio de madeira, material de construчуo e ferragens"
"07399101","","LAGOA NOVA","NATAL","Comщrcio varejista especializado de equipamentos de telefonia e comunicaчуo"
"03300220","ESQUINAO DAS BATERIAS","GANCHO","SAO GONCALO DO AMARANTE","Comщrcio a varejo de peчas e acessѓrios novos para veэculos automotores"
"01652415","SAFE CORRETORA DE SEGUROS","MAE LUIZA","NATAL","Corretores e agentes de seguros, de planos de previdъncia complementar e de saњde"
"01652431","CODORGRANJA","ZONA RURAL","MOSSORO","Criaчуo de frangos para corte"
"03300600","","CENTRO","CAICO","Educaчуo infantil - prщ-escola"
"01653037","DISPARATT MODAS","CENTRO","MONTANHAS","Comщrcio varejista de artigos do vestuсrio e acessѓrios"
"01653049","LIMA & DIAS","ZONA RURAL","GOIANINHA","Atividades de apoio р agricultura nуo especificadas anteriormente"
"03301395","SAMYA MODAS","CENTRO","CANGUARETAMA","Comercio varejista de artigos de armarinho"
"04945781","GEORGE'S CABELEIREIRO","TIROL","NATAL","Cabeleireiros, manicure e pedicure"
"04945857","T & T REPRESENTACOES","NOVA PARNAMIRIM","PARNAMIRIM","Representantes comerciais e agentes do comщrcio de mercadorias em geral nуo especializado"
"04942458","AOS SERVICOS DE LIMPESA URBANA","CENTRO","MACAIBA","Coleta de resэduos nуo-perigosos"
"04942774","BUBBA'S","CANDELRIA","NATAL","Restaurantes e similares"
"04942886","COMERCIAL POTENGI","PAJUSSARA","NATAL","Comщrcio a varejo de peчas e acessѓrios novos para veэculos automotores"
"01655294","","CENTRO","LAJES","Instituiчѕes de longa permanъncia para idosos"
"01655715","","ZONA RURAL","LAJES","Instituiчѕes de longa permanъncia para idosos"
"03306516","ALIANCA COMERCIO E SERVICOS","BOM PASTOR","NATAL","Comщrcio varejista de materiais de construчуo em geral"
"03306671","VALE VERDE","PRAIA DE CACIMBINHA","TIBAU DO SUL","Hotщis"
"04947968","APRENDER","AEROPORTO","MOSSORO","Educaчуo superior - graduaчуo"
"03307236","","CENTRO","GROSSOS","Comщrcio varejista de bebidas"
"03308445","CEREALISTA SAO JOSE","AEROPORTO","MOSSORO","Comщrcio atacadista de mercadorias em geral, sem predominтncia de alimentos ou de insumos agropecuсrios"
"01660161","SOMOTORES","DIX-SEPT ROSADO","NATAL","Serviчos de manutenчуo e reparaчуo mecтnica de veэculos automotores"
"03308518","AVENTUREIROS DO ASFALTO","POTENGI","NATAL","Atividades de associaчѕes de defesa de direitos sociais"
"01660283","LANCHONETE E RESTAURANTE SELF SERVICE O TCHAN","CIDADE ALTA","NATAL","Restaurantes e similares"
"03309099","SONHO ENCANTADO FESTAS","ALECRIM","NATAL","Comщrcio varejista de artigos de papelaria"
"04951188","COMERCIAL COMPRE BEM","ALECRIM","NATAL","Comщrcio atacadista de produtos alimentэcios em geral, com atividade de fracionamento e acondicionamento associada"
"01662046","","CENTRO","CORONEL JOAO PESSOA","Comщrcio varejista de gсs liqќefeito de petrѓleo (GLP)"
"01663171","ELDORADO CASA E CONSTRUCAO","PARQUE DOURADO","CURRAIS NOVOS","Comщrcio varejista de materiais de construчуo em geral"
"41449647","CORTEZ ODONTOLOGIA","PONTA NEGRA","NATAL","Atividade odontolѓgica"
"41443270","AAC REFORMA E CONSTRUCAO","SANTA LUZIA","TOUROS","Obras de alvenaria"
"41447140","SAL RANCHEIRO","AEROPORTO","MOSSORO","Comщrcio atacadista de produtos da extraчуo mineral, exceto combustэveis"
"41447423","YLA CASA","CAPIM MACIO","NATAL","Fabricaчуo de outros produtos tъxteis nуo especificados anteriormente"
"30536087","CASA DO VAREJO","CIDADE ALTA","FELIPE GUERRA","Comщrcio varejista de artigos do vestuсrio e acessѓrios"
"41447631","GALETERIA SOUSA","OLHO D'AGUA","SAO GONCALO DO AMARANTE","Comщrcio varejista de carnes - aчougues"
"41434321","RESTAURANTE DO GABRIEL","ALECRIM","NATAL","Restaurantes e similares"
"41436153","PURA IMPRESSAO GRAFICA","CENTRO","CEARA-MIRIM","Fotocѓpias"
"41436988","","ZONA RURAL","SAO JOSE DO SERIDO","Comщrcio varejista de outros produtos nуo especificados anteriormente"
"41437114","BM TATTOO","QUINTAS","NATAL","Serviчos de tatuagem e colocaчуo de piercing"
"39410072","PRINGOS BATATA PRIME","CANDELARIA","NATAL","Fornecimento de alimentos preparados preponderantemente para consumo domiciliar"
"41438667","DELICIA'S DE FRANGO","NOVA PARNAMIRIM","PARNAMIRIM","Restaurantes e similares"
"41439208","","SANTOS REIS","PARNAMIRIM","Serviчos de organizaчуo de feiras, congressos, exposiчѕes e festas"
"29240172","","NOVA PARNAMIRIM","PARNAMIRIM","Ediчуo de cadastros, listas e de outros produtos grсficos"
"29584357","CADASTREGEO","CENTRO","SAO TOME","Serviчos de cartografia, topografia e geodщsia"
"41419182","LAVA JATO MIL GRAU","CENTRO","IPUEIRA","Serviчos de lavagem, lubrificaчуo e polimento de veэculos automotores"
"41415082","DEIJAMIM DELMIRO REPRESENTACAO","LAGOA AZUL","NATAL","Promoчуo de vendas"
"41415463","NETA LOCACAO","CENTRO","JANDAIRA","Aluguel de mсquinas e equipamentos agrэcolas sem operador"
"41416043","GUSTAVO MATOS","CANDELARIA","NATAL","Preparaчуo de documentos e serviчos especializados de apoio administrativo nуo especificados anteriormente"
"41416197","MERCADINHO SERVE BEM","CENTRO","JACANA","Comщrcio varejista de bebidas"
